r01p01: 00:17:a4:40:fe:d2
r01p02: 00:17:a4:41:38:ba
r01p03: 00:17:a4:40:ff:13
r01p04: 00:17:a4:41:37:f3
r01p05: 00:17:a4:41:38:23
r01p06: 00:17:a4:41:31:2f
r01p07: 00:17:a4:41:37:6b
r01p08: 00:17:a4:41:36:85
r01p09: 00:17:a4:41:36:80
r01p10: 00:17:a4:41:84:e8
r02p01: 00:17:a4:41:81:f0
r02p02: 00:17:a4:41:36:ff
r02p03: 00:17:a4:40:fe:fe
r02p04: 00:17:a4:40:ff:63
r02p05: 00:17:a4:41:36:d0
r02p06: 00:17:a4:41:35:40
r02p07: 00:17:a4:41:35:dd
r02p08: 00:17:a4:41:38:c2
r02p09: 00:17:a4:41:36:72
r02p10: 00:17:a4:41:39:aa
r03p01: 00:17:a4:41:37:82
r03p02: 00:17:a4:41:39:ef
r03p03: 00:17:a4:40:fe:cc
r03p04: 00:17:a4:40:ff:5c
r03p05: 00:17:a4:41:3a:53
r03p06: 00:17:a4:41:3a:8d
r03p07: 00:17:a4:41:86:93
r03p08: 00:17:a4:41:36:ef
r03p09: 00:17:a4:41:37:1b
r03p10: 00:17:a4:41:3a:2d
r04p01: 00:17:a4:41:38:09
r04p02: 00:17:a4:41:38:95
r04p03: 00:17:a4:41:82:3a
r04p04: 00:17:a4:41:01:11
r04p05: 00:17:a4:41:32:8f
r04p06: 00:17:a4:40:fe:d0
r04p07: 00:17:a4:41:32:b8
r04p08: 00:17:a4:41:36:d7
r04p09: 00:17:a4:41:83:5e
r04p10: 00:17:a4:41:01:b7
